dataset,scenario,data_seed,split_seed,rows,features,classes,class_counts,true_edges,true_edges_json,equivalence_groups_json,metadata
S13,S13,1103,1103,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5,"[[0,1],[2,3],[4,5]]",[],"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1103, ""heredity"": ""respected"", ""id"": ""S13"", ""kind"": ""pair"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S13,S13,1129,1129,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5,"[[0,1],[2,3],[4,5]]",[],"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1129, ""heredity"": ""respected"", ""id"": ""S13"", ""kind"": ""pair"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S13,S13,1151,1151,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5,"[[0,1],[2,3],[4,5]]",[],"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1151, ""heredity"": ""respected"", ""id"": ""S13"", ""kind"": ""pair"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S13,S13,1171,1171,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5,"[[0,1],[2,3],[4,5]]",[],"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1171, ""heredity"": ""respected"", ""id"": ""S13"", ""kind"": ""pair"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S13,S13,1181,1181,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5,"[[0,1],[2,3],[4,5]]",[],"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1181, ""heredity"": ""respected"", ""id"": ""S13"", ""kind"": ""pair"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S13,S13,1201,1201,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5,"[[0,1],[2,3],[4,5]]",[],"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1201, ""heredity"": ""respected"", ""id"": ""S13"", ""kind"": ""pair"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S13,S13,1213,1213,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5,"[[0,1],[2,3],[4,5]]",[],"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1213, ""heredity"": ""respected"", ""id"": ""S13"", ""kind"": ""pair"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S13,S13,1231,1231,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5,"[[0,1],[2,3],[4,5]]",[],"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1231, ""heredity"": ""respected"", ""id"": ""S13"", ""kind"": ""pair"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S13,S13,1249,1249,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5,"[[0,1],[2,3],[4,5]]",[],"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1249, ""heredity"": ""respected"", ""id"": ""S13"", ""kind"": ""pair"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
S13,S13,1277,1277,2800,16,2,"{""0"": 1400, ""1"": 1400}",0-1;2-3;4-5,"[[0,1],[2,3],[4,5]]",[],"{""d"": 16, ""density"": ""sparse"", ""generator_seed"": 1277, ""heredity"": ""respected"", ""id"": ""S13"", ""kind"": ""pair"", ""n"": 2800, ""noise_sd"": 0.65, ""rho"": 0.0, ""signal_scale"": 1.0, ""threshold_quantile"": 0.5}"
